#,School Name,District,Block Name,UDISE ID
108302,UPS BELAHAR,ETAWAH,TAKHA,9310104502
108303,UPS BELAMAU KALA (COMPOSIT 1TO8),SITAPUR,HARGAON,9240502002
108304,UPS BELAULI,SANT KABIR NAGAR,MEHNDAVAL,9561804303
108305,UPS BELDAN,BANDA,BISANDA,9400601303
108306,UPS BELGAWAN,BANDA,BISANDA,9400604904
108307,UPS BELHAR KALA,SANT KABIR NAGAR,BELHAR KALA,9562100801
108308,UPS BELHARI,SITAPUR,PARSENDI,9241401002
108309,UPS BELHARI,SITAPUR,RAMPURMATHURA,9241606403
108310,UPS BELHASA,SANT KABIR NAGAR,BAGHAULI,9561611401
108311,UPS BELHAT,PRAYAGRAJ,KORAON,9451009902
108312,UPS BELLOTH (1 TO 8 COMPOSITE SCHOOL),ALIGARH,GONDA,9121105702
108313,UPS BELMA COMPOSITE,SANT KABIR NAGAR,HAINSAR BAZAR,9561900602
108314,UPS BELPOKHARI COMPOSITE,SANT KABIR NAGAR,KHALILABAD,9561506702
108315,UPS BELVA COMPOSITE (1 To 8),KHERI,KUMBHI-GOLA,9230511303
108316,UPS BELWA,PRAYAGRAJ,KAUNDHIYARA,9450203002
108317,UPS BELWA THAKURAI COMPOSITE,SANT KABIR NAGAR,BELHAR KALA,9562102602
108318,UPS BEMVEER PUR,ALIGARH,ATRAULI,9120301202
108319,UPS BEND,RAE BARELI,RAHI,9280101102
108320,UPS BENDA,BANDA,TINDWARI,9400201603
108321,UPS BENDA KHAS,BANDA,TINDWARI,9400201611
108322,UPS BENIAPUR,SITAPUR,PISAWAN,9241510102
108323,UPS BENIPUR,VARANASI,ARAJILINES,9670504106
108324,UPS BENIPUR COMPOSITE (1TO8),SITAPUR,ALIYA,9240105902
108325,UPS BENIPUR VAYAJPUR,SITAPUR,HARGAON,9240508302
108326,UPS BENIRAJA DASHRATHPUR COMPOSITE (1TO8),SITAPUR,HARGAON,9240500502
108327,UPS BERAMGANJ (1 to 8 Composite School),ALIGARH,TAPPAL,9120907602
108328,UPS BERAOCHA,KAUSHAMBI,KAUSHAMBI,9440202103
108329,UPS BERHARA,BARABANKI,DEWA,9460311301
108330,UPS BERHATI ( 1 TO 8 COMPOSITE SCHOOL),ALIGARH,JAWAN,9120606602
108331,UPS BERI KHEDA,ETAWAH,MAHEWA,9310204201
108332,UPS BERRA BIRAURA COMPOSITE(1 to 8),SITAPUR,REUSA,9241700502
108333,UPS BERRAKHANPUR,KANPUR NAGAR,BILHAUR,9340604302
108334,UPS BESANPUR BAHANPUR ( 1 TO 8 COMPOSITE SCHOOL),ALIGARH,BIJAULI,9120500902
108335,UPS BESAULIYA,BASTI,KAPTANGANJ,9550210202
